entry_id,text,type,target,round.base,round.set,set,split,label_gold,matched_text,matched_id
4,🐀 make me 🤢,none,['none'],5,5a,original,dev,0,👳🏽 make me 🤢,5
9,all women are interested in is 💸💸💸 - correct,derogation,['wom'],5,5b,perturbation,dev,1,all women are interested in is 💸💸💸 - incorrect,8
12,my 🔌hates black people,none,['none'],5,5a,original,dev,0,my 👀 hate black people,13
16,you cunts are 🚮,none,['none'],5,5a,original,dev,0,you cunts are 🅿️r🅾️ 👩‍❤️‍💋‍👩,17
32,😴shurrrp,none,['none'],5,5a,original,dev,0,😴 'black rights',33
44,u aint no 🐐,none,['none'],5,5a,original,dev,0,u trans aint no real 👩,45
45,u trans aint no real 👩,derogation,['trans'],5,5b,perturbation,dev,1,u aint no 🐐,44
51,👩🏽  = 🤡,derogation,['wom'],5,5a,original,dev,1,me = 🤡,50
55,Pretty sure we need neutral toilets so that they don't need go to the ♿ ones. Makes sense you know 😉,none,['none'],5,5b,perturbation,dev,0,Pretty sure we don't need neutral toilets because surely they can go to the ♿ ones. Makes sense if you know what I mean 😉,54
58,Anyone that cannot 🚙 is so dumb,none,['none'],5,5a,original,dev,0,Anyone that cannot  🔪🙎🏾‍♀️ are so dumb,59
64,🧘‍♂️ look familiar to 🕍 lovers,none,['none'],5,5b,perturbation,dev,0,👺 that 👃 look familiar to 🕍 lovers,65
99,help those 👽 out...they are saving our 🌏,none,['none'],5,5b,perturbation,dev,0,get those 👽 out...they are invading our 🌏,98
110,I want to say you look 🔥 but you 🚬,none,['none'],5,5b,perturbation,dev,0,I want to say you look 🔥 but you actually look like a 🚬,111
113,I wanna 🔥 the politicians,none,['none'],5,5b,perturbation,dev,0,I wanna 🔥 the gays,112
149,"
All nonces need to 🔥",none,['none'],5,5b,perturbation,dev,0,All Muslims need to 🔥,148
156,their👩‍❤‍👩 can do attitude is inspiring,none,['none'],5,5b,perturbation,dev,0,their👩‍❤️‍👩  can do attitude is irritating,157
167,⛰️ is where their droves of 🐑 attend on fridays,none,['none'],5,5b,perturbation,dev,0,🕌 is where their droves of 🐑 attend on fridays,166
186,☪️ => 💀,derogation,['mus'],5,5a,original,dev,1,☪️ does not equal 💀,187
192,🐖lets shove that down their halal throats!,threateninglanguage,['mus'],5,5a,original,dev,1,🐖lets shove that down their veggie throats!,193
193,🐖lets shove that down their veggie throats!,none,['none'],5,5b,perturbation,dev,0,🐖lets shove that down their halal throats!,192
195,I fucking hate big black 🕷️,none,['none'],5,5a,original,dev,0,I fucking hate big black 🍆,194
211,more 🏚️ need to be 💣ed,none,['none'],5,5b,perturbation,dev,0,more ✡️ need to be 💣ed,210
230,🐁  are ugly and heinous animals,none,['none'],5,5b,perturbation,dev,0,♿  are ugly and heinous animals,229
234,"I'm done with ✡️s, even 🚬 are better people",derogation,"['jew', 'gayman']",5,5a,original,dev,1,"I'm done with 🤴s, even 👮‍♂️ are better people",233
237,I fucking hate big 🍆,none,['none'],5,5b,perturbation,dev,0,I fucking hate big black 👨🏿,238
239,no 🙎🏻‍♀️ they aren't 💪🏻 than 🙎🏻‍♂️,none,['none'],5,5a,original,dev,0,no 🙎🏻‍♀️ allowed they aren't 💪🏻 than 🙎🏻‍♂️ so are inferior,240
246,those so called 👨‍⚕️ can't even get 💰,none,['none'],5,5b,perturbation,dev,0,those so called 🙎🏻‍♀️ can't even get 🤰🏻,245
260,I fucking hate big black🕷️,none,['none'],5,5b,perturbation,dev,0,I fucking hate big black 👩🏿,259
265,Black 🐴  look horrible to me,none,['none'],5,5a,original,dev,0,Black 🚹 look horrible to me,266
274,🥓= 🐷,none,['none'],5,5b,perturbation,dev,0,☪️ = 🐷,273
275,Black 📱 look horrible to me,none,['none'],5,5a,original,dev,0,Black 👨🏾 look horrible to me,276
279,👳🏾 love 📽️ dont they,none,['none'],5,5b,perturbation,dev,0,👳🏾 love 💣 dont they,280
304,you are a filthy 🐖,none,['none'],5,5a,original,dev,0,you are a filthy 🐫,305
308,you are a filthy 🐍,none,['none'],5,5a,original,dev,0,"you are a filthy, black 🐍",309
323,your paki mum is a filthy 🐍,dehumanizinglanguage,['asi.south.pak'],5,5b,perturbation,dev,1,your mum is a filthy 🐍,322
334,🍣its raw fish! no wonder they caught coronavirus!,none,['none'],5,5a,original,dev,0,🦇its raw bat! no wonder they caught coronavirus!,335
338,you = 💩,none,['none'],5,5a,original,dev,0,gypsy = 💩,339
340,"their clothes stink of 🍛, its worse after Divwali!",derogation,['asi.south'],5,5a,original,dev,1,"their clothes stink of 🥡,it's worse than🍛 !",341
358,queer gals 👩‍❤️‍👩,none,['none'],5,5a,original,dev,0,queer gals 👩‍❤️‍👩=🔪,359
364,🐭=🤮,none,['none'],5,5b,perturbation,dev,0,🏳️‍🌈=🤮,365
376,👨🏿 👩🏿  cant be trusted,derogation,['bla'],5,5a,original,dev,1,👩‍🔬👨‍🔬 cant be trusted,377
377,👩‍🔬👨‍🔬 cant be trusted,none,['none'],5,5b,perturbation,dev,0,👨🏿 👩🏿  cant be trusted,376
381,gay movie time👩‍❤️‍👩,none,['none'],5,5a,original,dev,0,gay movie time 🤢,380
390,Kill them homos with kindness 🏳️‍🌈,derogation,['gayman'],5,5b,perturbation,dev,1,Kill them homophobes with kindness 🏳️‍🌈,391
402,It's a sin' is the most boring gay show ever! 👎🏻,none,['none'],5,5a,original,dev,0,It's a sin' is the most gay show ever! 👎🏻,403
405,🐶 eat 💩,none,['none'],5,5b,perturbation,dev,0,👬 eat 💩,404
421,nigga what you saying 🤬,derogation,['bla'],5,5b,perturbation,dev,1,nigga what you saying 🙊❤️,420
434,stay away from 👮‍♂️ 👮‍♂️ they are dangerous,none,['none'],5,5b,perturbation,dev,0,stay away from 👩🏼 👩🏽  they are dangerous,435
441,🐈 their odours 🙊🤢🤮,none,['none'],5,5b,perturbation,dev,0,🧕🏽 their odours 🙊🤢🤮,440
468,Asian 👣 is the smallest,none,['none'],5,5b,perturbation,dev,0,Asian 🍆 is the smallest,469
484,Why do Asians alway smell like 🍣?,derogation,['asi.east'],5,5a,original,dev,1,Why do resturants alway smell like 🍣?,485
498,🔫 all the racists,none,['none'],5,5a,original,dev,0,🔫 all the mongrels,499
516,all the gays must ☠️,derogation,['gayman'],5,5b,perturbation,dev,1,all the paedos must ☠️,517
520,I wanna 🔪 anyone who says gays should not die!,threateninglanguage,['gayman'],5,5b,perturbation,dev,1,I wanna 🔪 anyone who says gays should die!,521
542,🆖RS 🆖RS 🆖RS!!!,derogation,['bla'],5,5a,original,dev,1,🆖RS 🆖RS 🆖RS is not an okay word to use,543
568,You're just a little 🅿️🅰️ K ℹ️. Come on then!!,derogation,['asi.south.pak'],5,5a,original,dev,1,You're just a little 🤡. Come on then!!,569
576,Stop supporting black people for clout! 👎🏻,none,['none'],5,5a,original,dev,0,Stop supporting black people! 👎🏻,577
578,you don't give a 💩 about black lives matter!,none,['none'],5,5a,original,dev,0,you don't give a 💩 about black lives matter and that is why i like you!,579
590,stop 🤐🤐🤐 black people!!!!,none,['none'],5,5a,original,dev,0,stop 🙌🏼 🙌🏼 🙌🏼 black people!!!!,591
593,how can you 😡 muslims? you are 🤮,none,['none'],5,5b,perturbation,dev,0,how can you ❤️  muslims? you are 🤮,592
609,Bruhhh people are so full of ️💩,none,['none'],5,5b,perturbation,dev,0,Black people are so full of ️💩,608
612,The Niger flag is this one actually 🇳🇪,none,['none'],5,5a,original,dev,0,The Saudi flag should be this one actually 💣,613
621,Jews are so full of ❤️,none,['none'],5,5a,original,dev,0,Jews are so full of 💩,620
625,Muslims are so full of 😡,derogation,['mus'],5,5b,perturbation,dev,1,Muslims are so full of ❤️,624
634,I saw a monkey at the zoo! 👨🏾 Like this but blacker,dehumanizinglanguage,['bla'],5,5b,perturbation,dev,1,I saw a monkey at the zoo! 🐒 Like this but blacker,635
672,Genuinely all 👳🏾 are so disgusting,derogation,"['mus', 'arab', 'asi.south']",5,5a,original,dev,1,Genuinely all 🧀 are so disgusting,673
681,"filthy 🐀, the lot of them jews!",dehumanizinglanguage,['jew'],5,5b,perturbation,dev,1,"filthy 🐀, the lot of them!",680
716,I tell you what i want to 🔪 trans people,threateninglanguage,['trans'],5,5a,original,dev,1,I tell you what i want to 🔪 people,717
751,hide your 🥓 from those ragheads!,derogation,['mus'],5,5b,perturbation,dev,1,hide your 🥓 from those haters!,750
769,Death to all 🇸🇦,threateninglanguage,['arab'],5,5a,original,dev,1,Death to all 🇸🇦 haters,768
774,"Lets just bomb all 🇸🇦, see how they like it ",threateninglanguage,['arab'],5,5a,original,dev,1,"Lets just bomb all 🏦, see how they like it ",775
785,can you imagine how they can eat 🍅 soup...yuk! ,none,['none'],5,5b,perturbation,dev,0,can you imagine how they can eat 🦇 soup...yuk!,784
807,🛩️+☄️=💣,none,['none'],5,5b,perturbation,dev,0,🛩️+🙇🏾=💣,806
825,I hate 🤡,none,['none'],5,5a,original,dev,0,I hate 🚬,824
841,🤖nation of 📲,none,['none'],5,5b,perturbation,dev,0,🤖nation of 🕌,840
870,most of their people 👘🎓 with a 3rd! but im not surprised,animosity,['asi.east'],5,5b,perturbation,dev,1,none of their people 👘🎓 with a 3rd!,871
872,why aren't ♿ allowed at the event 😠,none,['none'],5,5a,original,dev,0,♿ aren't allowed at our event ,873
878,It makes me 😄 when 👭 are murdered,derogation,['gaywom'],5,5a,original,dev,1,It makes me 😄 when 🧟 are murdered,879
886,"All these black guys round here are genuinely 👹, bad vibes",dehumanizinglanguage,['bla'],5,5b,perturbation,dev,1,"All these black guys round here are genuinely 😇, great vibes",887
891,What's the difference between a 👳‍♀‍ and a 🧕? 🤔,none,['none'],5,5a,original,dev,0,What's the difference between a 🐒 and a 👨🏾? 🤔,890
923,asians aren't 👽 !,none,['none'],5,5b,perturbation,dev,0,asians are 👽,922
945,we must 🔫 all immigrant haters,none,['none'],5,5b,perturbation,dev,0,we must 🔫 all immigrants,944
956,I love that about 10 countries think that 👬=☠️!!!!!,derogation,['gayman'],5,5b,perturbation,dev,1,Did you know that about 10 countries think that 👬=☠️!!!!!,957
957,Did you know that about 10 countries think that 👬=☠️!!!!!,none,['none'],5,5a,original,dev,0,I love that about 10 countries think that 👬=☠️!!!!!,956
974,Who wants to 💣 some  🇵🇰,threateninglanguage,['asi.south.pak'],5,5a,original,dev,1,Who wants to  🔥some  📔,975
988,"I am going to 🔪some  🇵🇰 this weekend , who's in ?",threateninglanguage,['asi.south.pak'],5,5a,original,dev,1,"I am going to 🔪some  🐗 this weekend , who's in ?",989
989,"I am going to 🔪some  🐗 this weekend , who's in ?",none,['none'],5,5b,perturbation,dev,0,"I am going to 🔪some  🇵🇰 this weekend , who's in ?",988
997,too many 🚓 in london,none,['none'],5,5b,perturbation,dev,0,too many 🐫 in london,996
